season,seasonPhase,date,gamePk,venue,home,away,roof,temperatureF,feelsLikeF,humidity,precipitationProbability,windMph,windDirection,windOutScore,windOutFlag,windSpeedScore,windScore,temperatureScore,humidityScore,rainScore,coldGameFlag,turfFlag,hrWeatherAdjustment,totalBasesWeatherAdjustment,hitsWeatherAdjustment,pitcherStrikeoutsWeatherAdjustment,pitcherHitsAllowedWeatherAdjustment,pitcherEarnedRunsWeatherAdjustment,weatherConfidence,weatherSummary
2026,regular,2026-03-31,823888,loanDepot park,MIA,CHW,retractable,73.3,74.6,73,,9.1,85,-1.0,0,0.607,-0.607,0.165,0.46,0,0,1,-0.0046,-0.0026,-0.0015,-0.0002,-0.0018,-0.002,Medium,wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,822836,Rogers Centre,TOR,COL,retractable,55.4,53.1,95,,8.5,289,0.4,1,0.567,0.227,-0.73,0.9,0,0,1,-0.0,-0.0003,-0.0008,-0.0005,-0.0007,-0.0009,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,824942,Truist Park,ATL,ATH,open,66.7,66.7,79,,7.8,195,1.0,1,0.52,0.52,-0.165,0.58,0,0,0,0.0105,0.0062,0.0025,-0.0021,0.003,0.0033,Medium,wind appears hitter-friendly
2026,regular,2026-03-31,824699,Wrigley Field,CHC,LAA,open,38.7,32.0,92,,8.4,16,-1.0,0,0.56,-0.56,-1,0.84,0,1,0,-0.0187,-0.012,-0.0074,0.0,-0.0079,-0.0095,Medium,cold temperature suppresses carry; wind appears pitcher-friendly
2026,regular,2026-03-31,823807,American Family Field,MIL,TBR,retractable,36.8,28.4,90,,11.5,34,-1.0,0,0.767,-0.767,-1,0.8,0,1,1,-0.0115,-0.0073,-0.0043,0.0,-0.0047,-0.0056,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,823077,Busch Stadium,STL,NYM,open,65.8,67.6,81,,3.6,56,-1.0,0,0.24,-0.24,-0.21,0.62,0.096,0,0,-0.0055,-0.0034,-0.0025,0.0,-0.0027,-0.0032,Medium,Weather mostly neutral.
2026,regular,2026-03-31,824212,Minute Maid Park,HOU,BOS,retractable,70.2,73.7,89,,7.0,155,0.4,1,0.467,0.187,0.01,0.78,0,0,1,0.0031,0.0019,0.0006,-0.0004,0.0007,0.0008,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,825107,Chase Field,ARI,DET,retractable,80.7,80.9,37,,0.9,45,-0.4,0,0.06,-0.024,0.535,-0.26,0,0,1,0.002,0.0015,0.001,-0.0008,0.001,0.0012,Medium,warm temperature favors carry; retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,823322,Petco Park,SDP,SFG,open,63.0,65.8,91,,1.8,158,1.0,1,0.12,0.12,-0.35,0.82,0,0,0,0.0014,0.0006,-0.0007,-0.0005,-0.0006,-0.0008,Medium,Weather mostly neutral.
2026,regular,2026-03-31,823158,T-Mobile Park,SEA,NYY,retractable,41.3,35.5,84,,6.6,16,-1.0,0,0.44,-0.44,-1,0.68,0,1,1,-0.0084,-0.0055,-0.0033,0.0,-0.0035,-0.0043,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-31,823969,Dodger Stadium,LAD,CLE,open,59.3,61.1,90,,0.3,225,1.0,1,0.02,0.02,-0.535,0.8,0,0,0,-0.0026,-0.0019,-0.002,-0.0001,-0.002,-0.0025,Medium,Weather mostly neutral.
2026,regular,2026-04-01,824860,Oriole Park at Camden Yards,BAL,TEX,open,87.1,85.7,31,,6.0,278,1.0,1,0.4,0.4,0.855,-0.38,0,0,0,0.0154,0.01,0.0058,-0.0042,0.0062,0.0075,Medium,warm temperature favors carry; wind appears hitter-friendly
2026,regular,2026-04-01,824536,Great American Ball Park,CIN,PIT,open,67.0,68.3,83,,6.6,334,-1.0,0,0.44,-0.44,-0.15,0.66,0.3,0,0,-0.0098,-0.0059,-0.0038,0.0,-0.0043,-0.0049,Medium,wind appears pitcher-friendly; rain/precipitation risk lowers confidence
2026,regular,2026-04-01,823483,Citizens Bank Park,PHI,WSN,open,82.2,80.4,35,,5.7,302,0.0,0,0.38,0.0,0.61,-0.3,0,0,0,0.0052,0.0037,0.0024,-0.0018,0.0024,0.0031,Medium,warm temperature favors carry
2026,regular,2026-04-01,822835,Rogers Centre,TOR,COL,retractable,41.3,34.4,60,,6.2,32,-1.0,0,0.413,-0.413,-1,0.2,0,1,1,-0.0088,-0.0058,-0.0032,0.0,-0.0034,-0.0042,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-04-01,823889,loanDepot park,MIA,CHW,retractable,79.1,77.0,49,,11.7,85,-1.0,0,0.78,-0.78,0.455,-0.02,0,0,1,-0.0056,-0.0031,-0.0014,-0.0007,-0.0018,-0.002,Medium,warm temperature favors carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-04-01,823078,Busch Stadium,STL,NYM,open,61.7,60.9,83,,6.8,67,-0.4,0,0.453,-0.181,-0.415,0.66,0,0,0,-0.0058,-0.0038,-0.0027,0.0,-0.0029,-0.0035,Medium,Weather mostly neutral.
2026,regular,2026-04-01,823806,American Family Field,MIL,TBR,retractable,34.2,24.7,75,,11.9,35,-1.0,0,0.793,-0.793,-1,0.5,0,1,1,-0.0122,-0.0078,-0.0044,0.0,-0.0048,-0.0057,Medium,cold temperature suppresses carry; wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-04-01,824211,Minute Maid Park,HOU,BOS,retractable,78.5,79.1,64,,11.8,164,1.0,1,0.787,0.787,0.425,0.28,0.016,0,1,0.0104,0.0065,0.0032,-0.0022,0.0036,0.0042,Medium,warm temperature favors carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-04-01,824698,Wrigley Field,CHC,LAA,open,39.2,30.2,82,,13.2,34,-1.0,0,0.88,-0.88,-1,0.64,0,1,0,-0.0257,-0.0163,-0.0093,0.0,-0.0102,-0.012,Medium,cold temperature suppresses carry; wind appears pitcher-friendly
2026,regular,2026-04-01,823321,Petco Park,SDP,SFG,open,63.6,62.9,70,,4.4,315,-1.0,0,0.293,-0.293,-0.32,0.4,0,0,0,-0.0079,-0.005,-0.003,0.0,-0.0033,-0.0039,Medium,Weather mostly neutral.
2026,regular,2026-04-01,823157,T-Mobile Park,SEA,NYY,retractable,46.4,39.2,84,,12.2,200,1.0,1,0.813,0.813,-1,0.68,0,1,1,0.0042,0.0021,0.0004,-0.0016,0.0008,0.0008,Medium,cold temperature suppresses carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-04-01,824136,Kauffman Stadium,KCR,MIN,open,55.2,53.2,99,,8.4,79,0.4,1,0.56,0.224,-0.74,0.98,0.644,0,0,-0.0032,-0.0025,-0.0029,-0.0009,-0.0027,-0.0032,Low,rain/precipitation risk lowers confidence
2026,regular,2026-04-01,823970,Dodger Stadium,LAD,CLE,open,60.8,62.7,95,,2.9,321,0.0,0,0.193,0.0,-0.46,0.9,0.156,0,0,-0.0027,-0.0019,-0.0022,0.0,-0.0022,-0.0026,Medium,Weather mostly neutral.
2026,regular,2026-04-02,824133,Kauffman Stadium,KCR,MIN,open,64.8,59.5,59,,12.5,260,-0.4,0,0.833,-0.333,-0.26,0.18,0,0,0,-0.0087,-0.0055,-0.003,0.0,-0.0034,-0.004,Medium,Weather mostly neutral.
2026,regular,2026-04-02,825105,Chase Field,ARI,ATL,retractable,70.5,66.5,30,,2.8,238,0.4,1,0.187,0.075,0.025,-0.4,0,0,1,0.0003,0.0001,0.0003,-0.0002,0.0003,0.0004,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-04-02,823242,Oracle Park,SFG,NYM,open,54.8,50.7,92,,11.4,286,1.0,1,0.76,0.76,-0.76,0.84,0.268,0,0,0.0088,0.0047,0.001,-0.003,0.0017,0.0017,Medium,cold temperature suppresses carry; wind appears hitter-friendly
2026,regular,2026-04-03,824621,Rate Field,CHW,TOR,open,40.5,33.1,92,,11.1,49,0.4,1,0.74,0.296,-1,0.84,0,1,0,-0.0016,-0.0018,-0.0022,-0.0012,-0.0019,-0.0026,Medium,cold temperature suppresses carry
2026,regular,2026-04-03,822758,Nationals Park,WSN,LAD,open,81.1,79.6,45,,9.8,218,1.0,1,0.653,0.653,0.555,-0.1,0,0,0,0.0183,0.0115,0.0061,-0.0043,0.0068,0.008,Medium,warm temperature favors carry; wind appears hitter-friendly
2026,regular,2026-04-03,824299,Comerica Park,DET,STL,open,65.8,62.4,63,,9.9,304,-0.4,0,0.66,-0.264,-0.21,0.26,0,0,0,-0.0066,-0.0041,-0.0024,0.0,-0.0027,-0.0032,Medium,Weather mostly neutral.
2026,regular,2026-04-03,824786,Fenway Park,BOS,SDP,open,64.9,61.9,66,,9.6,222,0.4,1,0.64,0.256,-0.255,0.32,0,0,0,0.0035,0.0019,0.0005,-0.001,0.0008,0.0008,Medium,Weather mostly neutral.
2026,regular,2026-04-03,822919,Globe Life Field,TEX,CIN,retractable,72.2,76.8,78,,2.4,53,-0.4,0,0.16,-0.064,0.11,0.56,0.268,0,1,0.0001,0.0002,-0.0002,-0.0002,-0.0003,-0.0002,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-04-03,824458,Progressive Field,CLE,CHC,open,56.8,56.1,90,,4.6,244,1.0,1,0.307,0.307,-0.66,0.8,0,0,0,0.0019,0.0007,-0.0008,-0.0012,-0.0005,-0.0008,Medium,Weather mostly neutral.
2026,regular,2026-04-03,823732,Target Field,MIN,TBR,open,37.0,29.8,86,,8.6,64,0.4,1,0.573,0.229,-1,0.72,0.332,1,0,-0.0049,-0.0038,-0.0033,-0.0009,-0.0031,-0.0038,Medium,cold temperature suppresses carry; rain/precipitation risk lowers confidence
2026,regular,2026-04-03,824377,Coors Field,COL,PHI,open,45.7,40.0,44,,2.2,339,-0.4,0,0.147,-0.059,-1,-0.12,0,1,0,-0.0115,-0.0079,-0.0044,0.0,-0.0044,-0.0055,Medium,cold temperature suppresses carry
2026,regular,2026-04-03,823406,PNC Park,PIT,BAL,open,70.4,70.2,70,,8.8,227,1.0,1,0.587,0.587,0.02,0.4,0,0,0,0.0131,0.008,0.0036,-0.0024,0.0042,0.0048,Medium,wind appears hitter-friendly
