season,seasonPhase,date,gamePk,gameDate,venue,home,away,latitude,longitude,roof,weatherSource,matchedHour,temperatureF,feelsLikeF,humidity,precipitationProbability,precipitation,windMph,windDirection,windGustMph,pressureMsl,cloudCover,parkSurface,updatedAt
2026,regular,2026-03-30,824135,2026-03-30T20:10:00Z,Kauffman Stadium,KCR,MIN,39.0517,-94.4803,open,open_meteo_archive,2026-03-30T20:00,78.3,74.7,50,,,15.0,197,31.8,1007.0,7,grass,2026-05-07T07:57:05.040458+00:00
2026,regular,2026-03-30,824863,2026-03-30T22:35:00Z,Oriole Park at Camden Yards,BAL,TEX,39.284,-76.6217,open,open_meteo_archive,2026-03-30T22:00,63.8,59.8,67,,,11.4,228,24.4,1020.7,15,grass,2026-05-07T07:57:05.696639+00:00
2026,regular,2026-03-30,824539,2026-03-30T22:40:00Z,Great American Ball Park,CIN,PIT,39.0979,-84.5081,open,open_meteo_archive,2026-03-30T22:00,67.6,64.2,68,,,12.8,203,28.0,1016.9,5,grass,2026-05-07T07:57:06.377593+00:00
2026,regular,2026-03-30,823890,2026-03-30T22:40:00Z,loanDepot park,MIA,CHW,25.7781,-80.2197,retractable,open_meteo_archive,2026-03-30T22:00,73.6,74.4,78,,0.004,12.6,86,27.7,1023.7,6,turf,2026-05-07T07:57:42.197883+00:00
2026,regular,2026-03-30,822834,2026-03-30T23:07:00Z,Rogers Centre,TOR,COL,43.6414,-79.3894,retractable,open_meteo_archive,2026-03-30T23:00,52.3,49.0,90,,0.035,7.7,209,17.2,1012.6,100,turf,2026-05-07T07:57:42.856994+00:00
2026,regular,2026-03-30,824943,2026-03-30T23:15:00Z,Truist Park,ATL,ATH,33.8907,-84.4677,open,open_meteo_archive,2026-03-30T23:00,64.1,63.2,73,,,6.2,136,13.2,1024.9,3,grass,2026-05-07T07:57:43.518207+00:00
2026,regular,2026-03-30,824702,2026-03-30T23:40:00Z,Wrigley Field,CHC,LAA,41.9484,-87.6553,open,open_meteo_archive,2026-03-30T23:00,63.9,61.5,82,,0.102,12.2,204,33.1,1009.7,100,grass,2026-05-07T07:57:44.179469+00:00
2026,regular,2026-03-30,823809,2026-03-30T23:40:00Z,American Family Field,MIL,TBR,43.028,-87.9712,retractable,open_meteo_archive,2026-03-30T23:00,66.6,61.1,68,,,17.0,213,34.4,1003.3,100,turf,2026-05-07T07:57:44.843540+00:00
2026,regular,2026-03-30,823080,2026-03-30T23:45:00Z,Busch Stadium,STL,NYM,38.6226,-90.1928,open,open_meteo_archive,2026-03-30T23:00,70.0,65.8,57,,,12.9,192,27.5,1012.2,100,grass,2026-05-07T07:57:45.714551+00:00
2026,regular,2026-03-30,824214,2026-03-31T00:10:00Z,Minute Maid Park,HOU,BOS,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-30T00:00,68.4,70.3,83,,,6.2,147,13.2,1021.5,97,turf,2026-05-07T07:57:47.085034+00:00
2026,regular,2026-03-30,823320,2026-03-31T01:40:00Z,Petco Park,SDP,SFG,32.7073,-117.1566,open,open_meteo_archive,2026-03-30T01:00,61.0,63.2,88,,,0.4,214,1.6,1013.9,,grass,2026-05-07T07:57:47.994893+00:00
2026,regular,2026-03-30,825108,2026-03-31T02:10:00Z,Chase Field,ARI,DET,33.4455,-112.0667,retractable,open_meteo_archive,2026-03-30T02:00,79.8,75.7,25,,,4.1,334,12.8,1012.7,100,turf,2026-05-07T07:58:25.741029+00:00
2026,regular,2026-03-30,823972,2026-03-31T02:10:00Z,Dodger Stadium,LAD,CLE,34.0739,-118.24,open,open_meteo_archive,2026-03-30T02:00,57.9,58.6,90,,,2.1,141,3.8,1013.5,2,grass,2026-05-07T07:58:26.399336+00:00
2026,regular,2026-03-31,824861,2026-03-31T22:35:00Z,Oriole Park at Camden Yards,BAL,TEX,39.284,-76.6217,open,open_meteo_archive,2026-03-31T22:00,76.1,72.3,46,,,11.7,217,25.7,1014.1,19,grass,2026-05-07T07:58:27.061909+00:00
2026,regular,2026-03-31,824537,2026-03-31T22:40:00Z,Great American Ball Park,CIN,PIT,39.0979,-84.5081,open,open_meteo_archive,2026-03-31T22:00,72.5,68.5,51,,,12.1,220,25.5,1013.7,63,grass,2026-05-07T07:58:27.719848+00:00
2026,regular,2026-03-31,823485,2026-03-31T22:40:00Z,Citizens Bank Park,PHI,WSN,39.9061,-75.1665,open,open_meteo_archive,2026-03-31T22:00,72.3,68.4,55,,,13.1,212,26.8,1013.7,96,grass,2026-05-07T07:58:28.393255+00:00
2026,regular,2026-03-31,823888,2026-03-31T22:40:00Z,loanDepot park,MIA,CHW,25.7781,-80.2197,retractable,open_meteo_archive,2026-03-31T22:00,73.3,74.6,73,,,9.1,85,17.4,1022.0,35,turf,2026-05-07T07:58:29.079004+00:00
2026,regular,2026-03-31,822836,2026-03-31T23:07:00Z,Rogers Centre,TOR,COL,43.6414,-79.3894,retractable,open_meteo_archive,2026-03-31T23:00,55.4,53.1,95,,,8.5,289,18.6,1009.4,100,turf,2026-05-07T07:58:29.749547+00:00
2026,regular,2026-03-31,824942,2026-03-31T23:15:00Z,Truist Park,ATL,ATH,33.8907,-84.4677,open,open_meteo_archive,2026-03-31T23:00,66.7,66.7,79,,,7.8,195,17.0,1022.2,14,grass,2026-05-07T07:58:30.428238+00:00
2026,regular,2026-03-31,824699,2026-03-31T23:40:00Z,Wrigley Field,CHC,LAA,41.9484,-87.6553,open,open_meteo_archive,2026-03-31T23:00,38.7,32.0,92,,,8.4,16,24.8,1019.0,90,grass,2026-05-07T07:58:31.081619+00:00
