date,player,market,line,american_odds,actual,over,team,opponent,book,side,game,event_id,team_moneyline,opponent_moneyline,game_total,open_team_moneyline,close_team_moneyline,moneyline_move,open_game_total,close_game_total,total_move,moneyline_implied_probability,favorite_status,team_implied_runs,opponent_implied_runs,opponent_implied_runs_proxy,book_implied_probability,line_move,odds_move,vig_pct,recent_games,recent_rate,season_rate,rolling_avg_5,rolling_avg_10,rolling_avg_15,rolling_total_bases_10,rolling_hr_rate_15,rolling_k_rate_10,batter_babip,batter_k_rate,batter_walk_rate,batter_days_rest,batter_avg_home,batter_avg_away,barrel_rate,hard_hit_rate,xwoba,xba,xslg,batter_ld_rate,batter_gb_rate,batter_sprint_speed,batter_avg_vs_hand,batter_k_rate_vs_hand,batter_recent_hits_vs_lhp,batter_recent_hits_vs_rhp,pitcher_k_rate,pitcher_walk_rate,pitcher_hr_rate,pitcher_babip,pitcher_days_rest,pitcher_velo_delta,pitcher_avg_allowed_vs_hand,team_k_rate,team_walk_rate,opponent_rate,opponent_bullpen_era_7d,ump_k_rate,ump_zone_size_zscore,ump_favor_batter_score,park_factor,hit_factor,hr_factor,k_factor,temperature,wind_mph,wind_out_score,wind_out_flag,turf_flag,cold_game_flag,pitcher,throws,bats,venue,roof,platoon_matchup
2026-05-04,Zack Short,batter_hits,0.5,119.0,0.0,0,DET,BOS,,,,,,,,,,,,,,,,,,,0.4565999999999999,,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,33.33,0.0,1.0,0.0,0.0,,,,,,,,,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
2026-05-04,Justin Crawford,batter_hits,0.5,142.0,0.0,0,PHI,MIA,,,,,,,,,,,,,,,,,,,0.4132,,,,30.0,0.9,0.867,1.2,,0.733,1.2,0.0,0.8,0.329,19.09,7.27,1.0,0.333,0.184,1.28,34.62,0.31,0.313,0.402,21.79,58.97,29.6,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,JJ Bleday,batter_hits,0.5,144.0,1.0,1,CIN,CHC,,,,,,,,,,,,,,,,,,,0.4097999999999999,,,,7.0,0.857,0.857,0.8,,0.857,2.286,0.429,0.571,0.231,16.0,20.0,1.0,0.333,0.286,7.69,53.85,0.577,0.513,0.846,53.85,15.38,0.0,,,,,21.64,8.19,1.09,0.264,6.0,0.3,,,,,,,,,1.0,,,,,,,,,,Edward Cabrera,,,,,
2026-05-04,Daulton Varsho,batter_hits,0.5,139.0,0.0,0,TOR,TBR,,,,,,,,,,,,,,,,,,,0.4184,0.0,327.0,,33.0,0.7,0.818,1.0,,0.667,1.3,0.067,0.9,0.261,18.11,7.87,1.0,0.22,0.25,6.59,34.07,0.338,0.306,0.463,29.67,37.36,26.8,,,,,16.67,5.95,0.64,0.219,6.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Nick Martinez,,,Tropicana Field,dome,
2026-05-04,José Caballero,batter_hits,0.5,107.0,1.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.4831,,,,34.0,1.0,0.912,0.8,,1.133,2.0,0.2,0.4,0.307,21.09,4.69,1.0,0.255,0.266,3.37,29.21,0.302,0.286,0.414,16.85,56.18,28.2,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Nick Fortes,batter_hits,0.5,121.0,1.0,1,TBR,TOR,,,,,,,,,,,,,,,,,,,0.4525,,,,28.0,0.5,0.821,0.4,,0.667,0.6,0.0,0.3,0.297,13.04,2.17,1.0,0.19,0.333,1.37,42.47,0.32,0.317,0.41,19.18,56.16,26.3,,,,,15.6,9.93,2.3,0.225,5.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Eric Lauer,,,Tropicana Field,dome,
2026-05-04,Trevor Story,batter_hits,0.5,134.0,1.0,1,BOS,DET,,,,,,,,,,,,,,,,,,,0.4274,,,,33.0,1.0,0.848,1.2,,0.8,1.1,0.0,1.1,0.292,30.56,4.86,2.0,0.175,0.231,3.3,41.76,0.343,0.329,0.467,25.27,45.05,27.9,,,,,27.11,3.61,0.42,0.277,6.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tarik Skubal,,,,,
2026-05-04,Willson Contreras,batter_hits,0.5,134.0,0.0,0,BOS,DET,,,,,,,,,,,,,,,,,,,0.4274,,,,34.0,1.2,0.971,1.4,,1.0,2.3,0.267,1.3,0.351,27.89,10.88,1.0,0.276,0.266,18.52,46.91,0.548,0.415,0.844,25.93,37.04,26.6,,,,,27.11,3.61,0.42,0.277,6.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tarik Skubal,,,,,
2026-05-04,Matt Vierling,batter_hits,0.5,133.0,0.0,0,DET,BOS,,,,,,,,,,,,,,,,,,,0.4292,,,,28.0,0.5,0.536,0.8,,0.6,0.8,0.0,0.6,0.241,17.07,8.54,1.0,0.214,0.2,3.45,37.93,0.329,0.308,0.434,24.14,41.38,28.5,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
2026-05-04,Daniel Schneemann,batter_hits,0.5,131.0,0.0,0,CLE,KCR,,,,,,,,,,,,,,,,,,,0.4329,,,,29.0,0.8,0.862,0.6,,0.933,1.5,0.2,1.3,0.389,30.93,9.28,1.0,0.278,0.288,10.91,41.82,0.482,0.4,0.713,29.09,34.55,27.4,,,,,20.69,8.62,1.02,0.203,5.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Michael Wacha,,,,,
2026-05-04,David Hamilton,batter_hits,0.5,122.0,0.0,0,MIL,STL,,,,,,,,,,,,,,,,,,,0.4504999999999999,,,,29.0,0.6,0.69,0.6,,0.8,0.8,0.0,0.9,0.308,19.42,11.65,1.0,0.178,0.3,2.99,26.87,0.308,0.297,0.414,13.43,61.19,29.0,,,,,16.98,8.18,1.56,0.302,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Kyle Leahy,,,,,
2026-05-04,Pedro Pagés,batter_hits,0.5,113.0,0.0,0,STL,MIL,,,,,,,,,,,,,,,,,,,0.4695,,,,23.0,1.0,0.783,0.8,,0.933,1.7,0.133,1.3,0.288,25.0,4.76,1.0,0.244,0.229,7.14,35.71,0.347,0.309,0.519,17.86,44.64,25.7,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Brayan Rocchio,batter_hits,0.5,128.0,0.0,0,CLE,KCR,,,,,,,,,,,,,,,,,,,0.4386,,,,35.0,0.9,0.857,1.0,,1.133,1.0,0.067,0.2,0.27,9.23,8.46,1.0,0.34,0.206,1.94,27.18,0.29,0.283,0.391,21.36,46.6,27.3,,,,,20.69,8.62,1.02,0.203,5.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Michael Wacha,,,,,
2026-05-04,Juan Soto,batter_hits,0.5,100.0,0.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.5,-1.0,-67.0,,20.0,1.0,1.1,0.8,,0.933,1.8,0.2,0.8,0.339,16.28,15.12,1.0,0.341,0.25,22.81,50.88,0.482,0.371,0.774,26.32,36.84,25.3,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Tyrone Taylor,batter_hits,0.5,166.0,0.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.3759,0.0,324.0,,27.0,0.5,0.444,0.2,,0.4,0.8,0.067,0.3,0.204,15.38,3.08,1.0,0.259,0.147,3.85,25.0,0.286,0.266,0.4,21.15,34.62,28.6,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Spencer Torkelson,batter_hits,0.5,110.0,0.0,0,DET,BOS,,,,,,,,,,,,,,,,,,,0.4761999999999999,,,,35.0,1.0,0.714,0.8,,0.867,2.5,0.4,1.3,0.279,30.15,14.71,1.0,0.235,0.203,16.44,47.95,0.474,0.371,0.754,27.4,31.51,26.1,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
